Name,Geometry,Address
Tan Si Chong Su Temple,"1.2894095,103.8406668",15 Magazine Rd
Tang Gah Beo,"1.2738977,103.8256941",6 Bukit Purmei
Tee Kwee Hood Sia Temple,"1.3171474,103.9362775",15 Sennett Road
Teng San Tian Hock Temple,"1.368999,103.8705139",489 Serangoon North Avenue 1
Teong Siew Kuan Temple,"1.4226023,103.8308105","362, Yishun Avenue 3"
The Buddhist Union,"1.3416119,103.8812718",28 Jalan Senyum
The Mahaprajna Buddhist Sociery,"1.3131108,103.8926725",11 Lorong 35 Geylang
The Singapore Buddhist Lodge,"1.2946604,103.8366315","17-19 Kim Yam Rd, Singapore 239329"
Thekchen Choling,"1.3121564,103.8581633","2 Beatty Ln, Singapore 209945"
Then Shen Temple,"1.3116144,103.8774113",24 Lorong 16 Geylang
Thian Hock Keng Temple,"1.2809405,103.8454408","158 Telok Ayer St, Singapore 068613"
Thian Ling Chong Toh Tong Temple,"1.3187103,103.9112184",472 Changi Road
Thian Ling Toh Thong,"1.3400851,103.7547624",551 Bukit Batok Street 23
Thian Sing Keong Temple,"1.3065382,103.8512983",58C Upper Weld Road
Thong Teck Sian Thong Lian Sin Sia Temple,"1.3264398,103.8471291",1A Boon Teck Road
Ti-Sarana Buddhist Association,"1.3123166,103.8568826","5 Sturdee Rd, Spore 207838"
Tian Bao Tang,"1.3183423,103.846838","88a Shrewsbury Road,"
Tian De Temple,"1.3657973,103.8935244",109 Hougang Avenue 5
Tian Gong Tan Zhao Ling Temple,"1.3491424,103.7203264",62 Jurong West Street 41
Tian Kong Buddhist Temple,"1.3359521,103.9468125",51 Bedok North Avenue 4
Tian Teck Keng Temple,"1.3673767,103.9263184","95 Tampines Link, Singapore 528745"
Tian Wen Tan,"1.3833336,103.7695341",15 Fajar Road
Tibetan Buddhist Studies Society,"1.3130526,103.8747865","21 Lor 11 Geylang, Singapore 388713"
Tien Kong Thun Temple,"1.3519587,103.8417139","68 Jln Pemimpin, Singapore 577220"
Tien Loong Thong,"1.3161355,103.8580228",448 Race Course Road
Ting Kong Temple,"1.2714484,103.8067988",578 Telok Blangah Road
Tioh Hin Cho Temple,"1.3160833,103.9029104",121A Langsat Road
Tiong Bahru Qi Tian Gong Temple,"1.2837888,103.8321176",44 Eng Hoon Street
Tiong Ghee Temple,"1.2911658,103.8018088","1085 Stirling Road, Queenstown"
Toa Payoh Seu Teck Sean Tong,"1.3385734,103.8494803",2 Lorong 6 Toa Payoh
Tong Sian Tng Temple,"1.2982954,103.8353413",31 Devonshire Road
Tong Tek Buddhist Temple,"1.3232459,103.8621226",1055 Serangoon Road
Tong Whye Temple,"1.3457102,103.7320143",212 Jurong East Street 32
Tsan Tan Lim Temple,"1.3213593,103.9050304",20 Jalan Yasin
Tse Tho Aum Temple,"1.3616371,103.8363021","601 Sin Ming Dr, Singapore 575719"
Tuas Pek Kong Keng,"1.3447276,103.7111446",118 Boon Lay Drive
Ubin Thai Buddhist Temple,"1.3915203,103.8702117",72 Sengkang West Avenue
United Five Temples of Toa Payoh,"1.3387068,103.8543352",177L Lorong 7 Toa Payoh
Uttamayanmuni Buddhist Temple,"1.3785749,103.7434579",32B Hong San Terrace
Visuddha Meditation Centre ,"1.3280354,103.9065793",107 Jalan Langgar Bedok
Wang Hai Da Bo Gong Miao,"1.2734699,103.8290177",50H Palmer Rd
Wat Ananda Metyarama Thai Buddhist Temple,"1.2783561,103.8268009",50B Jalan Bukit Merah
Wei Tuo Fa Gong Temple,"1.4084814,103.9584523",224J Pulau Ubin
Wu Hong Yan Kong Temple,"1.3732717,103.8681166","21 Serangoon North Ave 3, Singapore 555862"
